Name,Age,Hometown,Boarded,Position,Lifeboat,Body
"Pfropper, Mr. Richard",30,"Southampton, Hampshire, England",Southampton,Saloon Steward,9,
"Phillimore, Mr. Harold Charles William",23,"Southampton, Hampshire, England",Belfast,Saloon Steward,14,
"Phillips, Mr. John George ""Jack""",25,"Godalming, Surrey, England",Belfast,Telegraphist,,
"Platt, Mr. W.",18,"Southampton, Hampshire, England",Belfast,Scullion,,
"Pook, Mr. P.",34,"Southampton, Hampshire, England",Belfast,Assistant Pantry,,
"Port, Mr. Frank",32,"Southampton, Hampshire, England",Belfast,Steward,13,
"Porteus, Mr. Thomas",32,"Southampton, Hampshire, England",Belfast,Butcher,,
"Prentice, Mr. Frank Winnold",22,"Southampton, Hampshire, England",Belfast,Storekeeper,4,
"Prichard, Mrs. Alice",33,"Southampton, Hampshire, England",Belfast,Stewardess,11,
"Prideaux, Mr. John Arthur ""Jack""",23,"Southampton, Hampshire, England",Belfast,Steward,,
"Prior, Mr. Harold John",21,"Southampton, Hampshire, England",Belfast,Steward,11,
"Proctor, Mr. Charles",40,"Liverpool, Lancashire, England",Belfast,Chef,,
"Pryce, Mr. Charles William",22,"Southampton, Hampshire, England",Southampton,Saloon Steward,,
"Pugh, Mr. Alfred",20,"Southampton, Hampshire, England",Southampton,Steward,14,
"Puzey, Mr. John E.",35,"Itchen, Hampshire, England",Belfast,Saloon Steward,,
"Randall, Mr. Frank Henry",27,"Southampton, Hampshire, England",Southampton,Saloon Steward,,
"Ransom, Mr. James",33,"Bristol, Avon, England",Belfast,Saloon Steward,,
"Rattonbury, Mr. William Henry",36,"Southampton, Hampshire, England",Belfast,Assistant Boots Steward,,
"Ray, Mr. Frederick Dent",32,"Southampton, Hampshire, England",Belfast,Saloon Steward,13,
"Reed, Mr. Charles S.",43,"Southampton, Hampshire, England",Southampton,Bedroom Steward,,
"Revell, Mr. William",31,"Southampton, Hampshire, England",Belfast,Saloon Steward,,
"Rice, Mr. John Reginald",25,"Crosby, Lancashire, England",Southampton,Clerk,,64MB
"Rice, Mr. John Reginald",25,"Southampton, Hampshire, England",Southampton,Steward,,
"Ricks, Mr. Cyril G.",23,"Southampton, Hampshire, England",Southampton,Storekeeper,,100MB
"Ridout, Mr. W.",29,"Southampton, Hampshire, England",Southampton,Saloon Steward,,
"Rimmer, Mr. Gilbert",27,"Southampton, Hampshire, England",Southampton,Saloon Steward,,
"Roberton, Mr. George Edward",19,"Southampton, Hampshire, England",Southampton,Assistant Saloon Steward,,127MB
"Roberts, Mr. Frank John",36,"Farnborough, Hampshire, England",Belfast,Third Butcher,,231MB
"Roberts, Mr. Hugh H.",40,"Bootle, Lancashire, England",Southampton,Bedroom Steward,,93MB
"Roberts, Mrs. Mary Kezziah (née Humphrys)",41,"Southampton, Hampshire, England",Southampton,Saloon Steward,16,
"Robinson, Mrs. Annie",40,"Southampton, Hampshire, England",Southampton,Stewardess,11,
"Robinson, Mr. James William",30,"Southampton, Hampshire, England",Southampton,Saloon Steward,,151MB
"Rogers, Mr. Edward James William",32,"Southampton, Hampshire, England",Southampton,Assistant Storekeeper,,282MB
"Rogers, Mr. Michael",27,"Winchester, Hampshire, England",Southampton,Saloon Steward,,
"Ross, Mr. Horace Leopold",36,"Southampton, Hampshire, England",Southampton,Scullion,13,
"Rowe, Mr. Edward M.",31,"Southampton, Hampshire, England",Belfast,Saloon 1st Class Steward,,
"Rule, Mr. Samuel James",58,"Southampton, Hampshire, England",Belfast,Bathroom Steward,15,
"Russell, Mr. Boysie Richard",17,"Southampton, Hampshire, England",Southampton,Saloon Steward,,
"Ryan, Mr. Tom",27,"Southampton, Hampshire, England",Southampton,Third Class Steward,,264{?}MB[23]
"Ryerson, Mr. William Edwy",32,"Southampton, Hampshire, England",Southampton,Saloon Steward,9,
"Samuel, Mr. Owen Wilmore",41,"Southampton, Hampshire, England",Southampton,Saloon Steward,,217MB
"Saunders, Mr. D. E.",26,"Southampton, Hampshire, England",Southampton,Saloon Steward,,
"Savage, Mr. Charles J.",23,"Southampton, Hampshire, England",Southampton,Saloon Steward,11,
"Scott, Mr. John",21,"Southampton, Hampshire, England",Southampton,Boots Steward,,
"Scovell, Mr. Robert",42,"Freemantle, Hampshire, England",Southampton,Saloon Steward,,
"Sedunary, Mr. Sidney Francis",25,"Southampton, Hampshire, England",Southampton,Third Class Steward,,178MB
"Shea, Mr. John",39,"Southampton, Hampshire, England",Belfast,Saloon Steward,,11MB
"Slight, Mr. Harry John",35,"Southampton, Hampshire, England",Southampton,Steward,,21{?}MB[21]
"Sloan, Miss Mary",28,"Belfast, Northern Ireland",Southampton,Stewardess,,
"Slocombe, Mrs Maud (née Waldon)",30,"London, England",Southampton,Turkish Bath Stewardess,,
"Smillie, Mr. John",38,"Southampton, Hampshire, England",Belfast,Saloon Steward,,91MB
"Smith, Mr. Charles Edward",38,"Southampton, Hampshire, England",Southampton,Bed Room Steward,,329MM
"Smith, Mr. F",20,"Southampton, Hampshire, England",Southampton,Assistant Pantryman Steward,,240{?}MBSee[21]
"Smith, Miss Katherine E.",42,"Southampton, Hampshire, England",Southampton,Stewardess,,
"Snape, Mrs Lucy Violet",22,"Witley, Surrey, England",Southampton,Stewardess,,
"Stap, Miss Sarah Agnes",47,"Birkenhead, Cheshire, England, England",Southampton,Stewardess,,
"Stone, Mr. Edmond J.",26,"Southampton, Hampshire, England",Southampton,First class Bedroom Steward,,41MB[24]
"Stone, Mr. Edward Thomas",30,"Southampton, Hampshire, England",Southampton,First class Bedroom Steward,,243MB[24]
"Talbot, Mr. George Frederick Charles.",27,"Southampton, Hampshire, England",Southampton,Steward,,150MB
"Taylor, Mr. William",21,"Southampton, Hampshire, England",Southampton,Boots Steward,,36{?}MB[21]
"Teuton, Mr. Thomas Moore",32,"Southampton, Hampshire, England",Southampton,Saloon Steward,,226MB
"Toshack, Mr. James A.",30,"Southampton, Hampshire, England",Southampton,First Class Saloon Steward,,
"Turner, Mr. Leopold[25]",28,"Church Stretton, Shropshire, England",Belfast,First Class Saloon Steward,,23MB
"Veal, Mr. Thomas H.E.",38,"Southampton, Hampshire, England",Southampton,First Class Saloon Steward,,
"Wake, Mr. T.",32,"Southampton, Hampshire, England",Southampton,Asst. Baker,,
"Wallis, Mrs Catherine Jane",35,"Southampton, Hampshire, England",Southampton,Second Class Matron,,
"Walpole, Mr. James",48,"Southampton, Hampshire, England",Belfast,Chief Pantryman,,
"Walsh, Miss Catherine",32,"Southampton, Hampshire, England",Southampton,Stewardess,,
"Ward, Mr. Edward",34,"Southampton, Hampshire, England",Southampton,First Class Bedroom Steward,,
"Ward, Mr. Percy T.",38,"Hampshire, England",Southampton,First Class Bedroom Steward,,
"Ward, Mr. William",36,"Southampton, Hampshire, England",Southampton,First Class Saloon Steward,9,
"Wareham, Mr. Robert Arthur",36,"Southampton, Hampshire, England",Southampton,First Class Bedroom Steward,,246MB
"Warwick, Mr. Thomas",35,"Hampshire, England",Southampton,First Class Bedroom Steward,,
"Weatherston, Mr. Thomas",24,"Liverpool, Lancashire, England",Belfast,First Class Bedroom Steward,,
"Weikman, Mr. Augustus Henry",51,"Southampton, Hampshire, England",Southampton,First Class Barber,A,
"White, Mr. Arthur",37,"Portsmouth, Hampshire, England",Southampton,Third Class Barber,,247MB
"White, Mr Edward Joseph",27,"Southampton, Hampshire, England",Southampton,Glory Hole Steward,,272MB
"White, Mr. L.",32,"Southampton, Hampshire, England",Southampton,First Class Saloon Steward,,
"Whiteley, Mr. Thomas",18,"London, England",Southampton,First Class Saloon Steward,B,
"Whitford, Mr. A.H.",37,"Southampton, Hampshire, England",Southampton,Second Class Saloon Steward,,
"Whittman, Mr. Henry",34,"Southampton, Hampshire, England",Southampton,First Class Bedroom Steward,,315MB
"Widgery, Mr. James G.",37,"Southampton, Hampshire, England",Southampton,Second Class Bath Steward,9,
"Wildebank, Mr. Alfred E.",39,"Southampton, Hampshire, England",Southampton,Asst. Cook,13,
"Williams, Mr. Walter J.",28,"Southampton, Hampshire, England",Southampton,Second Class Saloon Steward,13,
"Willis, Mr. William",66,"Southampton, Hampshire, England",Southampton,Third Class Steward,,
"Wiltshire, Mr. W.",33,"Southampton, Hampshire, England",Southampton,Asst. Butcher,,
"Witter, Mr. James W.C.",31,"Hampshire, England",Southampton,Second Class Smoking Room Steward,11,
"Wood, Mr. J.T.",40,"London, England",Southampton,Second Class Saloon Steward,,
"Wormald, Mr. Frederick William",36,"Southampton, Hampshire, England",Southampton,First Class Saloon Steward,,144MB
"Wrapson, Mr. Frederick B.",19,"Southampton, Hampshire, England",Southampton,Asst. Pantryman,,
"Wright, Mr. Frederick",24,"London, England",Southampton,Squash Court Steward,,
"Wright, Mr. William",40,"Southampton, Hampshire, England",Southampton,Glory Hole Steward,13,
"Yearsley, Mr. Harry",38,"Southampton, Hampshire, England",Southampton,First Class Saloon Steward,9,
